year,batter,runs_scored,balls_faced,boundaries,dot_balls,wickets,sixes,fours,strike_rate,boundary_percentage,dot_ball_percentage,six_percentage,four_percentage,average
2007,SB Bangar,47,49,4,20,5,3,1,95.91836734693877,8.16326530612245,40.816326530612244,6.122448979591836,2.0408163265306123,9.4
2007,SB Joshi,6,16,0,8,2,0,0,37.5,0.0,50.0,0.0,0.0,3.0
2007,SB Styris,112,124,11,47,6,2,9,90.32258064516128,8.870967741935484,37.903225806451616,1.6129032258064515,7.258064516129033,18.666666666666668
2007,SC Ganguly,349,324,48,142,14,15,33,107.71604938271604,14.814814814814813,43.82716049382716,4.62962962962963,10.185185185185185,24.928571428571427
2007,SD Chitnis,18,10,2,1,2,1,1,180.0,20.0,10.0,10.0,10.0,9.0
2007,SE Marsh,616,452,85,151,10,26,59,136.28318584070794,18.805309734513273,33.4070796460177,5.752212389380531,13.053097345132745,61.6
2007,SK Raina,421,304,53,84,9,18,35,138.48684210526315,17.434210526315788,27.631578947368425,5.921052631578947,11.513157894736842,46.77777777777778
2007,SK Trivedi,5,12,0,7,1,0,0,41.66666666666667,0.0,58.333333333333336,0.0,0.0,5.0
2007,SK Warne,70,60,9,22,7,2,7,116.66666666666667,15.0,36.666666666666664,3.3333333333333335,11.666666666666666,10.0
2007,SM Katich,96,72,13,22,1,2,11,133.33333333333331,18.055555555555554,30.555555555555557,2.7777777777777777,15.277777777777779,96.0
2007,SM Pollock,147,116,20,40,8,8,12,126.72413793103448,17.24137931034483,34.48275862068966,6.896551724137931,10.344827586206897,18.375
2007,SP Fleming,196,171,30,74,9,3,27,114.61988304093566,17.543859649122805,43.27485380116959,1.7543859649122806,15.789473684210526,21.77777777777778
2007,SP Goswami,82,86,10,41,3,1,9,95.34883720930233,11.627906976744185,47.674418604651166,1.1627906976744187,10.465116279069768,27.333333333333332
2007,SR Tendulkar,188,189,28,79,6,2,26,99.47089947089947,14.814814814814813,41.7989417989418,1.0582010582010581,13.756613756613756,31.333333333333332
2007,SR Watson,472,322,66,95,10,19,47,146.58385093167703,20.496894409937887,29.503105590062113,5.900621118012422,14.596273291925465,47.2
2007,SS Tiwary,26,20,4,8,2,1,3,130.0,20.0,40.0,5.0,15.0,13.0
2007,ST Jayasuriya,514,333,88,127,13,31,57,154.35435435435437,26.426426426426424,38.13813813813814,9.30930930930931,17.117117117117118,39.53846153846154
2007,Salman Butt,193,172,32,70,7,2,30,112.20930232558139,18.6046511627907,40.69767441860465,1.1627906976744187,17.441860465116278,27.571428571428573
2007,Shahid Afridi,81,46,13,19,8,6,7,176.08695652173913,28.26086956521739,41.30434782608695,13.043478260869565,15.217391304347828,10.125
2007,Shoaib Akhtar,2,8,0,5,1,0,0,25.0,0.0,62.5,0.0,0.0,2.0
2007,Shoaib Malik,52,49,5,13,4,0,5,106.12244897959184,10.204081632653061,26.53061224489796,0.0,10.204081632653061,13.0
2007,Sohail Tanvir,36,31,4,9,3,1,3,116.12903225806453,12.903225806451612,29.03225806451613,3.225806451612903,9.67741935483871,12.0
2007,T Kohli,10,16,1,10,2,1,0,62.5,6.25,62.5,6.25,0.0,5.0
2007,T Taibu,31,26,3,9,3,0,3,119.23076923076923,11.538461538461538,34.61538461538461,0.0,11.538461538461538,10.333333333333334
